date,iso_code,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
2020-03-14,DNK,Europe,Denmark,827.0,26.0,114.857,1.0,1.0,,142.26,4.473,19.758,0.172,0.172,,1.66,3.0,0.516,,,,,105.0,18.062,5381.0,583.0,0.926,0.1,638.0,0.11,0.18,5.6,tests performed,,,,,,,,,,,,,,65.74,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
2020-03-15,DNK,Europe,Denmark,864.0,37.0,118.429,2.0,1.0,,148.625,6.365,20.372,0.344,0.172,,1.55,2.0,0.344,,,,,135.0,23.223,6107.0,726.0,1.051,0.125,709.0,0.122,0.167,6.0,tests performed,,,,,,,,,,,,,,65.74,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,-1101.6,-8.55,-10.28,-189.4964342
2020-03-16,DNK,Europe,Denmark,914.0,50.0,117.714,3.0,1.0,,157.226,8.601,20.249,0.516,0.172,,1.48,10.0,1.72,,,,,171.0,29.415,7123.0,1016.0,1.225,0.175,771.0,0.133,0.1527,6.5,tests performed,,,,,,,,,,,,,,65.74,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
2020-03-17,DNK,Europe,Denmark,977.0,63.0,102.143,4.0,1.0,,168.063,10.837,17.571,0.688,0.172,,1.42,18.0,3.096,,,,,203.0,34.92,8071.0,948.0,1.388,0.163,792.0,0.136,0.129,7.8,tests performed,,,,,,,,,,,,,,65.74,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
2020-03-18,DNK,Europe,Denmark,1057.0,80.0,87.857,4.0,0.0,,181.824,13.762,15.113,0.688,0.0,,1.37,24.0,4.128,,,,,240.0,41.285,9297.0,1226.0,1.599,0.211,841.0,0.145,0.1045,9.6,tests performed,,,,,,,,,,,,,,72.22,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
2020-03-19,DNK,Europe,Denmark,1151.0,94.0,76.571,6.0,2.0,0.857,197.994,16.17,13.172,1.032,0.344,0.147,1.36,30.0,5.161,,,,,272.0,46.789,11145.0,1848.0,1.917,0.318,1008.0,0.173,0.076,13.2,tests performed,,,,,,,,,,,,,,72.22,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
2020-03-20,DNK,Europe,Denmark,1255.0,104.0,64.857,9.0,3.0,1.286,215.884,17.89,11.157,1.548,0.516,0.221,1.36,37.0,6.365,,,,,310.0,53.326,12323.0,1178.0,2.12,0.203,1075.0,0.185,0.0603,16.6,tests performed,,,,,,,,,,,,,,72.22,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
2020-03-21,DNK,Europe,Denmark,1326.0,71.0,71.286,13.0,4.0,1.714,228.098,12.213,12.263,2.236,0.688,0.295,1.36,42.0,7.225,,,,,320.0,55.046,12925.0,602.0,2.223,0.104,1078.0,0.185,0.0661,15.1,tests performed,,,,,,,,,,,,,,72.22,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
2020-03-22,DNK,Europe,Denmark,1395.0,69.0,75.857,13.0,0.0,1.571,239.967,11.869,13.049,2.236,0.0,0.27,1.37,46.0,7.913,,,,,329.0,56.594,13457.0,532.0,2.315,0.092,1050.0,0.181,0.0722,13.8,tests performed,,,,,,,,,,,,,,72.22,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,-1113.8,-7.93,-1.06,-191.5950694
2020-03-23,DNK,Europe,Denmark,1450.0,55.0,76.571,24.0,11.0,3.0,249.428,9.461,13.172,4.128,1.892,0.516,1.38,55.0,9.461,,,,,369.0,63.475,14581.0,1124.0,2.508,0.193,1065.0,0.183,0.0719,13.9,tests performed,,,,,,,,,,,,,,72.22,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
2020-03-24,DNK,Europe,Denmark,1591.0,141.0,87.714,32.0,8.0,4.0,273.683,24.255,15.089,5.505,1.376,0.688,1.4,69.0,11.869,,,,,403.0,69.324,15704.0,1123.0,2.701,0.193,1090.0,0.188,0.0805,12.4,tests performed,,,,,,,,,,,,,,72.22,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
2020-03-25,DNK,Europe,Denmark,1724.0,133.0,95.286,34.0,2.0,4.286,296.561,22.879,16.391,5.849,0.344,0.737,1.41,87.0,14.966,,,,,446.0,76.721,17075.0,1371.0,2.937,0.236,1111.0,0.191,0.0858,11.7,tests performed,,,,,,,,,,,,,,72.22,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
2020-03-26,DNK,Europe,Denmark,1877.0,153.0,103.714,41.0,7.0,5.0,322.88,26.319,17.841,7.053,1.204,0.86,1.43,94.0,16.17,,,,,474.0,81.537,18683.0,1608.0,3.214,0.277,1077.0,0.185,0.0963,10.4,tests performed,,,,,,,,,,,,,,72.22,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
2020-03-27,DNK,Europe,Denmark,2046.0,169.0,113.0,52.0,11.0,6.143,351.951,29.071,19.438,8.945,1.892,1.057,1.46,109.0,18.75,,,,,497.0,85.494,20793.0,2110.0,3.577,0.363,1210.0,0.208,0.0934,10.7,tests performed,,,,,,,,,,,,,,72.22,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
2020-03-28,DNK,Europe,Denmark,2201.0,155.0,125.0,65.0,13.0,7.429,378.614,26.663,21.502,11.181,2.236,1.278,1.48,121.0,20.814,,,,,546.0,93.923,22176.0,1383.0,3.815,0.238,1322.0,0.227,0.0946,10.6,tests performed,,,,,,,,,,,,,,72.22,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
2020-03-29,DNK,Europe,Denmark,2395.0,194.0,142.857,72.0,7.0,8.429,411.986,33.372,24.574,12.385,1.204,1.45,1.49,131.0,22.535,,,,,555.0,95.471,23477.0,1301.0,4.038,0.224,1431.0,0.246,0.0998,10.0,tests performed,,,,,,,,,,,,,,72.22,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,-1117.0,-7.37,-0.29,-192.1455311
2020-03-30,DNK,Europe,Denmark,2577.0,182.0,161.0,77.0,5.0,7.571,443.294,31.308,27.695,13.245,0.86,1.302,1.49,137.0,23.567,,,,,538.0,92.546,26695.0,3218.0,4.592,0.554,1731.0,0.298,0.093,10.8,tests performed,,,,,,,,,,,,,,72.22,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
2020-03-31,DNK,Europe,Denmark,2860.0,283.0,181.286,90.0,13.0,8.286,491.975,48.681,31.185,15.482,2.236,1.425,1.48,145.0,24.943,,,,,508.0,87.386,29904.0,3209.0,5.144,0.552,2029.0,0.349,0.0893,11.2,tests performed,,,,,,,,,,,,,,72.22,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
2020-04-01,DNK,Europe,Denmark,3107.0,247.0,197.571,104.0,14.0,10.0,534.464,42.489,33.986,17.89,2.408,1.72,1.46,146.0,25.115,,,,,478.0,82.225,33462.0,3558.0,5.756,0.612,2341.0,0.403,0.0844,11.8,tests performed,,,,,,,,,,,,,,72.22,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
2020-04-02,DNK,Europe,Denmark,3386.0,279.0,215.571,123.0,19.0,11.714,582.457,47.993,37.082,21.158,3.268,2.015,1.44,153.0,26.319,527.0,90.654,,,472.0,81.193,39211.0,5749.0,6.745,0.989,2933.0,0.505,0.0735,13.6,tests performed,,,,,,,,,,,,,,72.22,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
2020-04-03,DNK,Europe,Denmark,3757.0,371.0,244.429,139.0,16.0,12.429,646.276,63.819,42.046,23.911,2.752,2.138,1.42,143.0,24.599,511.0,87.902,,,457.0,78.613,45826.0,6615.0,7.883,1.138,3576.0,0.615,0.0684,14.6,tests performed,,,,,,,,,,,,,,72.22,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
2020-04-04,DNK,Europe,Denmark,4077.0,320.0,268.0,161.0,22.0,13.714,701.323,55.046,46.101,27.695,3.784,2.359,1.38,142.0,24.427,498.0,85.666,,,417.0,71.732,49511.0,3685.0,8.517,0.634,3905.0,0.672,0.0686,14.6,tests performed,,,,,,,,,,,,,,72.22,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
