age	voted
46	no
37	yes
40	yes
41	yes
72	yes
71	yes
37	yes
45	no
70	no
43	yes
37	yes
55	yes
30	yes
38	no
41	no
66	no
54	yes
55	no
62	yes
80	yes
31	no
80	yes
24	yes
55	yes
59	no
73	yes
72	yes
50	yes
66	yes
41	yes
52	no
45	no
46	yes
66	yes
60	yes
73	yes
71	yes
28	yes
73	yes
37	yes
56	yes
48	yes
53	yes
72	yes
55	yes
79	yes
38	yes
42	yes
70	yes
50	no
50	yes
62	no
51	yes
65	yes
48	yes
55	yes
54	yes
38	no
80	yes
37	yes
38	yes
60	yes
46	yes
78	yes
39	yes
33	yes
74	yes
61	yes
67	no
60	yes
21	no
49	no
80	yes
70	yes
70	yes
72	yes
78	yes
43	yes
45	no
44	yes
50	yes
33	yes
55	no
28	yes
34	no
24	yes
26	yes
75	yes
61	yes
80	yes
58	yes
50	yes
76	yes
80	yes
48	no
61	no
45	yes
37	yes
36	yes
80	yes
66	yes
80	yes
66	yes
60	yes
34	no
80	yes
71	yes
72	yes
57	no
36	yes
61	yes
58	yes
30	yes
80	no
72	no
60	no
52	no
40	no
23	yes
54	yes
70	yes
23	no
66	yes
60	yes
50	yes
62	yes
37	yes
52	yes
52	yes
76	yes
73	yes
42	yes
67	yes
64	yes
55	yes
29	yes
34	yes
45	no
40	yes
49	yes
37	yes
80	yes
80	yes
66	yes
55	no
65	yes
69	yes
70	yes
64	no
62	yes
50	yes
46	no
67	yes
30	yes
80	yes
58	no
29	yes
71	yes
69	yes
80	no
28	yes
22	no
72	yes
63	yes
61	no
60	yes
48	yes
69	yes
80	yes
77	yes
48	yes
47	yes
71	yes
31	no
78	yes
76	yes
46	yes
31	no
29	yes
69	yes
34	no
23	yes
61	yes
57	yes
33	no
71	no
50	yes
71	no
70	no
22	no
24	no
40	no
49	yes
56	no
59	yes
63	yes
73	yes
56	yes
41	yes
48	yes
80	yes
64	yes
28	yes
21	no
61	yes
64	yes
35	yes
31	yes
24	no
37	no
53	yes
34	yes
60	yes
66	yes
70	yes
51	yes
44	yes
60	yes
34	no
53	yes
37	yes
56	no
46	no
63	yes
29	yes
54	yes
79	yes
31	no
50	yes
64	yes
80	no
60	yes
46	yes
66	yes
38	yes
59	yes
64	yes
72	yes
68	yes
28	no
27	yes
62	yes
70	yes
29	yes
62	yes
60	yes
69	yes
58	yes
47	yes
53	yes
72	yes
35	yes
62	yes
73	yes
28	no
57	yes
29	no
39	yes
55	yes
42	yes
67	yes
58	yes
67	yes
58	yes
25	yes
73	yes
30	yes
38	yes
40	yes
51	yes
61	yes
59	yes
58	yes
53	no
75	yes
37	yes
77	yes
68	yes
66	yes
43	no
72	yes
50	yes
58	yes
28	no
59	yes
72	yes
29	yes
60	yes
66	yes
56	yes
40	yes
45	yes
51	yes
68	yes
22	yes
40	yes
63	yes
59	yes
53	yes
80	yes
67	yes
69	yes
80	yes
62	no
38	no
71	yes
80	yes
61	yes
65	yes
30	no
38	yes
80	yes
65	yes
48	yes
38	yes
67	yes
80	yes
33	no
76	yes
32	yes
41	no
80	yes
45	yes
56	yes
68	yes
73	yes
69	yes
73	yes
43	yes
48	no
62	yes
41	yes
20	no
63	yes
34	yes
76	yes
44	yes
69	yes
27	yes
48	no
74	yes
72	yes
60	yes
32	yes
70	no
50	yes
59	yes
52	yes
60	yes
24	yes
31	no
39	yes
73	yes
43	yes
28	yes
70	yes
72	yes
59	yes
35	no
26	yes
80	yes
76	yes
31	no
24	yes
53	yes
55	yes
39	yes
32	yes
80	yes
40	yes
64	no
40	yes
52	yes
67	yes
72	yes
79	no
67	yes
24	yes
43	yes
52	yes
62	no
50	yes
28	yes
62	yes
73	yes
33	no
42	no
36	yes
41	no
51	yes
30	yes
66	yes
80	yes
49	yes
30	yes
70	yes
65	no
57	yes
71	yes
40	yes
66	yes
68	yes
76	yes
44	yes
70	yes
71	yes
37	yes
31	yes
61	yes
43	yes
53	yes
73	yes
38	yes
73	yes
31	no
69	yes
45	yes
41	yes
66	yes
41	no
62	yes
31	no
80	yes
46	yes
70	yes
21	no
77	no
66	no
33	yes
46	yes
36	yes
68	no
71	no
37	yes
30	yes
79	yes
78	yes
47	yes
72	yes
71	yes
36	yes
35	yes
56	no
64	yes
41	no
50	yes
31	yes
61	yes
62	yes
57	yes
63	yes
75	yes
52	no
64	yes
41	yes
51	yes
45	yes
68	yes
73	yes
65	yes
64	yes
71	no
38	yes
24	yes
66	no
49	yes
40	yes
73	yes
65	no
34	no
53	yes
39	yes
71	yes
33	no
34	yes
59	yes
72	yes
52	yes
53	no
35	yes
68	yes
54	yes
74	yes
67	yes
46	yes
57	yes
34	yes
56	yes
77	yes
43	yes
66	yes
60	yes
39	yes
39	yes
53	no
71	yes
76	yes
80	no
76	no
49	yes
37	no
80	yes
72	yes
51	yes
70	yes
45	yes
31	yes
72	yes
71	yes
67	yes
36	yes
58	yes
64	yes
34	no
36	yes
44	yes
54	yes
28	yes
77	yes
70	yes
28	no
30	yes
37	yes
45	yes
68	yes
80	no
41	yes
32	yes
24	no
42	yes
26	no
50	yes
46	yes
52	yes
35	yes
76	yes
63	yes
39	yes
28	yes
66	yes
45	yes
69	yes
59	no
79	yes
80	yes
38	yes
74	yes
54	no
45	yes
42	yes
75	yes
33	yes
40	yes
56	yes
44	yes
80	yes
25	yes
26	no
75	yes
68	yes
27	no
46	yes
71	no
49	yes
57	yes
80	yes
66	yes
43	yes
55	yes
64	no
80	yes
57	yes
32	yes
53	yes
68	yes
67	yes
50	yes
33	no
58	yes
36	yes
46	no
30	no
78	yes
70	no
53	yes
59	yes
39	yes
46	yes
69	no
80	yes
31	yes
49	yes
41	yes
58	yes
32	yes
22	yes
59	yes
29	yes
69	yes
39	no
39	no
64	no
53	yes
65	yes
36	no
76	yes
59	yes
51	yes
49	yes
29	yes
29	yes
47	yes
64	yes
66	yes
35	yes
80	yes
59	no
74	yes
73	yes
80	yes
